"2009/03/22_00:00" "205.209.143.94/000f1.htm"
"2009/03/22_00:00" "205.209.143.94/000f2.htm"
"2009/04/27_00:00" "200.122.168.229/dl/goldvipclub/"
"2009/04/27_00:00" "200.122.168.229/dl/goldvipclub/TrackDownload.dll?DID=991392"
"2009/05/08_00:00" "208.76.80.16"
"2009/05/08_00:00" "64.49.219.215"
"2009/05/08_00:00" "208.76.80.16"
"2009/05/08_00:00" "208.83.210.33"
"2014/04/21_05:33" "187.17.111.101"
"2009/05/08_00:00" "208.76.80.19"
"2009/05/08_00:00" "204.12.47.43"
"2009/05/13_00:00" "72.10.169.26/loader.exe"
"2009/05/13_00:00" "63.251.171.80"
"2009/05/17_00:00" "77.232.66.18"
"2009/05/18_00:00" "85.13.236.154/v50/?v=66&s=I&uid=1824245000&p=13310&q="
"2009/05/18_00:00" "85.159.233.47"
"2009/05/20_00:00" "200.219.224.48"
"2009/05/20_00:00" "202.146.4.119"
"2009/05/20_00:00" "62.149.12.191"
"2009/05/20_00:00" "78.31.65.216"
"2009/05/22_00:00" "88.191.20.248"
"2009/05/22_00:00" "222.76.215.12"
"2009/05/22_00:00" "211.234.100.137"
"2009/05/23_00:00" "219.148.34.9/dmdown/sss.exe"
"2009/05/23_00:00" "63.217.31.51"
"2009/05/23_00:00" "74.52.179.179"
"2009/05/23_00:00" "218.5.79.63"
"2009/05/24_00:00" "91.195.110.99"
"2009/05/26_00:00" "174.120.200.218"
"2009/05/26_00:00" "217.74.66.183"
"2009/05/28_00:00" "61.139.126.15"
"2009/05/28_00:00" "174.37.172.162"
"2009/05/31_00:00" "91.209.163.184"
"2009/05/31_00:00" "111.92.237.115"
"2009/06/03_00:00" "63.227.18.137/id5.txt"
"2009/06/03_00:00" "74.81.93.72"
"2009/06/04_00:00" "202.91.74.136/bjp3/id3.txt"
"2014/04/12_00:13" "198.50.239.99"
"2009/06/05_00:00" "64.6.241.22"
"2009/06/06_00:00" "38.113.1.102"
"2009/06/07_00:00" "93.185.104.30"
"2009/06/07_00:00" "93.185.104.27"
"2009/06/07_00:00" "93.185.104.28"
"2009/06/07_00:00" "93.185.104.30"
"2014/04/02_08:53" "198.252.70.200"
"2014/04/12_00:13" "198.50.239.99"
"2009/06/07_00:00" "93.185.104.29"
"2009/06/07_00:00" "93.185.104.28"
"2009/06/07_00:00" "93.185.104.30"
"2009/06/07_00:00" "81.2.194.138"
"2009/06/07_00:00" "81.2.195.176"
"2009/06/07_00:00" "93.185.104.29"
"2009/06/07_00:00" "81.2.195.176"
"2009/06/07_00:00" "93.185.104.29"
"2009/06/07_00:00" "93.185.104.29"
"2009/06/07_00:00" "93.185.104.30"
"2014/04/11_11:48" "66.96.223.209"
"2009/06/07_00:00" "64.70.19.33"
"2009/06/07_00:00" "74.54.143.242"
"2009/06/07_00:00" "125.65.112.23"
"2009/06/08_00:00" "66.118.146.69"
"2014/04/11_08:14" "64.120.207.254"
"2009/06/10_00:00" "67.202.87.234"
"2009/06/12_00:00" "88.214.193.196"
"2009/06/12_00:00" "88.86.113.4"
"2014/04/11_08:11" "78.46.209.151"
"2009/06/13_00:00" "77.222.131.86"
"2009/06/14_00:00" "88.214.193.196"
"2009/06/14_00:00" "89.185.228.15"
"2009/06/14_00:00" "89.185.228.15"
"2009/06/14_00:00" "89.185.228.15"
"2009/06/14_00:00" "89.185.228.15"
"2009/06/14_00:00" "89.185.228.15"
"2009/06/14_00:00" "89.185.228.15"
"2009/06/14_00:00" "89.185.228.15"
"2009/06/14_00:00" "89.185.228.15"
"2009/06/14_00:00" "89.185.228.15"
"2009/06/14_00:00" "89.185.228.15"
"2009/06/14_00:00" "89.185.228.12"
"2009/06/14_00:00" "88.214.242.12"
"2009/06/15_00:00" "66.96.146.201"
"2009/06/16_00:00" "213.174.143.196/v/g.php?d=79"
"2009/06/16_00:00" "83.245.63.229"
"2014/03/31_11:44" "5.135.43.43/adm/documentos.zip"
"2014/03/31_11:44" "185.12.14.208/tmp/Boleto_Vencido.zip"
"2009/06/16_00:00" "209.25.133.107"
"2014/04/11_08:11" "62.75.140.238"
"2014/04/07_18:32" "193.218.144.3/cp/login/"
"2009/06/16_00:00" "83.245.63.229"
"2009/06/18_00:00" "69.3.109.79/1.html"
"2009/06/18_00:00" "89.111.176.89"
"2009/06/18_00:00" "90.156.201.22"
"2014/04/06_04:49" "36.250.3.247"
"2009/06/20_00:00" "84.51.21.163"
"2009/06/23_00:00" "114.80.208.199"
"2009/06/23_00:00" "174.143.45.131"
"2009/06/24_00:00" "72.232.219.152"
"2009/06/25_00:00" "124.217.216.40"
"2009/06/25_00:00" "216.245.193.34"
"2009/06/25_00:00" "64.191.16.37"
"2009/06/25_00:00" "75.125.56.218"
"2009/06/25_00:00" "69.163.194.224"
"2009/06/25_00:00" "66.232.116.49"
"2009/06/25_00:00" "81.176.232.104"
"2014/04/06_04:49" "192.249.59.79"
"2014/04/06_04:49" "192.249.59.79"
"2014/04/02_17:58" "149.154.64.6"
"2014/04/02_17:58" "173.212.223.250"
"2009/06/28_00:00" "193.200.173.4"
"2014/04/02_17:58" "62.75.140.237"
"2014/04/02_17:58" "62.75.140.237"
"2009/06/28_00:00" "91.189.81.71"
"2009/06/28_00:00" "91.197.128.216"
"2014/04/02_11:50" "149.154.64.6"
"2014/04/02_11:50" "62.75.140.237"
"2014/04/02_08:53" "190.114.252.75"
"2014/04/02_08:53" "190.114.252.75"
"2014/04/02_08:53" "173.254.28.97"
"2014/04/02_08:53" "173.254.28.97"
"2014/03/23_10:15" "109.120.177.54"
"2014/03/23_10:15" "109.120.177.54"
"2009/06/29_00:00" "209.200.55.33"
"2009/06/29_00:00" "87.242.126.153"
"2009/06/29_00:00" "86.35.15.214"
"2009/06/29_00:00" "67.210.126.110"
"2014/03/23_10:15" "109.120.177.54"
"2009/06/29_00:00" "212.36.9.1"
"2009/06/29_00:00" "212.36.9.10"
"2014/03/23_10:15" "109.120.177.54"
"2009/06/29_00:00" "212.36.9.10"
"2009/06/29_00:00" "89.34.23.162"
"2009/06/29_00:00" "212.36.9.1"
"2009/06/29_00:00" "216.8.179.24"
"2009/06/29_00:00" "81.2.200.162"
"2009/06/30_00:00" "194.146.224.100"
"2009/06/30_00:00" "77.55.70.169"
"2009/06/30_00:00" "80.91.176.135"
"2009/06/30_00:00" "80.91.176.135"
"2009/06/30_00:00" "190.228.29.81"
"2009/06/30_00:00" "91.185.202.90"
"2009/06/30_00:00" "190.228.29.81"
"2009/06/30_00:00" "69.162.86.4"
"2009/06/30_00:00" "83.142.47.61"
"2009/06/30_00:00" "83.142.47.61"
"2009/07/01_00:00" "62.211.68.12"
"2009/07/11_00:00" "89.111.177.27"
"2014/03/23_10:15" "109.120.177.54"
"2009/07/21_00:00" "64.40.123.35"
"2009/07/21_00:00" "208.75.230.43"
"2009/07/21_00:00" "74.206.224.180"
"2009/07/21_00:00" "209.33.220.8"
"2009/07/21_00:00" "209.33.220.8"
"2009/07/21_00:00" "209.33.220.8"
"2009/07/21_00:00" "209.33.220.8"
"2009/07/21_00:00" "70.38.113.158"
"2009/07/21_00:00" "74.200.91.144"
"2009/07/21_00:00" "112.216.25.75"
"2009/07/21_00:00" "209.33.220.8"
"2009/07/21_00:00" "209.33.220.8"
"2009/07/21_00:00" "209.33.220.8"
"2009/07/21_00:00" "209.33.220.8"
"2009/07/21_00:00" "209.33.220.8"
"2009/07/21_00:00" "209.33.220.8"
"2009/07/21_00:00" "209.33.220.8"
"2009/07/21_00:00" "209.33.220.8"
"2009/07/21_00:00" "209.33.220.8"
"2009/07/21_00:00" "212.154.208.169"
"2009/07/21_00:00" "212.154.208.169"
"2009/07/21_00:00" "202.131.25.49"
"2009/07/21_00:00" "212.70.224.183"
"2009/07/21_00:00" "85.13.136.149"
"2009/07/21_00:00" "216.52.115.50"
"2009/07/21_00:00" "91.189.80.71"
"2009/07/21_00:00" "64.94.37.195"
"2009/07/24_00:00" "200.149.77.224"
"2009/08/03_00:00" "58.215.240.96"
"2009/08/05_00:00" "222.222.204.68"
"2009/08/05_00:00" "222.222.204.67"
"2009/08/05_00:00" "201.7.184.2"
"2009/08/12_00:00" "194.186.88.45"
"2009/08/12_00:00" "217.31.49.10"
"2009/08/15_00:00" "85.13.138.226"
"2009/08/17_00:00" "216.157.140.193"
"2009/08/17_00:00" "216.81.64.192"
"2009/08/17_00:00" "216.157.140.192"
"2009/08/17_00:00" "199.238.181.161/setup.exe"
"2009/08/25_00:00" "119.42.225.167"
"2009/08/30_00:00" "188.64.184.32"
"2009/09/05_00:00" "198.77.71.192"
"2009/09/11_00:00" "213.163.89.54/lib/index.php?t=2"
"2009/09/11_00:00" "118.220.175.24"
